"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDR153C",569.905407065189,0.391326448956001,0.101754094112586,3.84580544270796,0.000120157079079602,0.00125918305202959
"YDR418W",4864.24848878785,-0.617060669533937,0.0909809374747775,-6.78230722457662,1.18271624129231e-11,5.35325890207624e-10
"YDR224C",4005.53673726659,0.404343810536097,0.0691702911789867,5.84562828411128,5.04659841180326e-09,1.41882780018187e-07
"YDR447C",5937.64052420146,-0.594547725739391,0.114049001440475,-5.21309014748105,1.85720586512967e-07,3.79893840745435e-06
"YDR357C",186.195322343045,-0.415565124794443,0.113705140716426,-3.65476109678134,0.000257421572112621,0.00242668312145162
"YDR276C",667.990402361929,0.282943555200356,0.0675782225088456,4.18690437090618,2.82784899278168e-05,0.000364592571150156
"YDR406W",655.778821235097,-0.857977472188937,0.121556823712208,-7.05824194798183,1.6862227948569e-12,8.82088022686616e-11
"YDL051W",909.937108857518,-0.505421944254696,0.0648716190318938,-7.79111037765541,6.64228558374002e-15,4.46221753636093e-13
"YDL056W",581.098721832282,0.243587829983158,0.0759858665666573,3.20569917787902,0.00134734763330161,0.00983841258092777
"YDR456W",1014.24639361711,0.279655908347713,0.0902802456321931,3.09764230690119,0.00195066715687103,0.0137105262061133
"YDL036C",345.015830688253,-0.259831566789614,0.0856250465303055,-3.03452759815612,0.00240912712574743,0.0162541225212782
"snR63",2319.91373304866,-0.710673910876666,0.147051934227692,-4.83280899778084,1.34619932267042e-06,2.30952797776414e-05
"YDR032C",1084.5625624803,0.486497319429081,0.0748826329581998,6.49679772478951,8.2047657651515e-11,3.2124426449814e-09
"YDR063W",298.210039721941,-0.330164297521651,0.0925072246271088,-3.5690649984639,0.000358257541655955,0.00323394572962985
"YDL174C",838.367783372048,-0.234024652272301,0.0810795317128231,-2.88635919976939,0.00389727082956038,0.0242621467778806
"YDR044W",625.346968823389,-0.372729356541525,0.0961405009622761,-3.87692338619889,0.000105785650490481,0.00112520670238375
