"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YML081C-A",329.992403068123,0.555227993619836,0.106331800397951,5.22165515435527,1.77330963413326e-07,1.33301084629428e-06
"YML019W",446.065588983463,-0.512175780752564,0.108954230322845,-4.70083427908144,2.59100729567509e-06,1.61956988844255e-05
"YMR006C",1185.60817577052,-1.05666258209212,0.143177891024901,-7.3800680714619,1.58208622511391e-13,2.6640829257723e-12
"YML009C-A",50.8521070198074,0.792566861477815,0.317887103646735,2.49323376879921,0.0126585474424908,0.0327868708514515
"YMR116C",26688.4497355954,-0.6355830317635,0.0668537052143008,-9.50707264056834,1.96103258149918e-21,6.80179887778682e-20
"YMR196W",631.801839613351,0.827985593104358,0.11010680298706,7.51984046981788,5.48431197158925e-14,9.77678184432475e-13
"YMR070W",224.059969353829,-0.661749463577529,0.234171653457275,-2.82591617647806,0.00471455996292538,0.0141061048679746
"YMR280C",275.549994179591,1.16793206839305,0.211989830914021,5.50937780061132,3.60104279627457e-08,3.05203919333656e-07
"YMR170C",135.57020156435,0.801612110804628,0.132264982458304,6.06065260740752,1.35570353778606e-09,1.40913680425906e-08
"YML012C-A",3.03689609303375,1.7442615826259,0.723865916468351,2.40964734344163,0.0159679468897096,0.0395757037087871
"YMR206W",9.1325474057686,-2.86994318772428,0.718450698095934,-3.99462787819722,6.47959416387356e-05,0.00030586368309054
"YMR010W",655.561164413049,0.211254839983633,0.088078875101892,2.39847341078378,0.0164635717282977,0.0405834356006165
"YMR184W",208.101811429618,0.305455358887555,0.128740075234444,2.37265170407351,0.0176609089225564,0.0430300683768175
"YMR244W",13.5600152236313,-2.07720124561717,0.50435305900491,-4.11854594421513,3.81270560173956e-05,0.000189654615356991
"YMR279C",269.564460310486,0.837426227707605,0.163164721268762,5.13239762367634,2.86074339235778e-07,2.06998461791693e-06
"YMR043W",490.929808889003,-0.669597448135873,0.155106088910161,-4.31702876941027,1.58143552953427e-05,8.5459115575679e-05
"YMR175W",10.2939975984544,-1.36803272566941,0.51524667366347,-2.65510248895451,0.00792843160384775,0.0220380010870019
"YML002W",296.744725454594,0.315468693970039,0.118527339533748,2.6615690119343,0.00777773952029873,0.0217240707292857
"YMR278W",580.962615295591,0.607179270697909,0.0970503413861286,6.25633317746055,3.94134272966596e-10,4.42845938393102e-09
"YMR029C",528.669852530066,0.297141471061204,0.0941336316363251,3.15659202663271,0.00159624508837522,0.00546818902523386
"YMR092C",1804.50100514437,0.74731206278394,0.0850402913849965,8.78774108852344,1.52597154176295e-18,4.25272942337604e-17
"YMR122W-A",1427.01988789991,0.725673313975398,0.0691060730773023,10.5008616704882,8.55951894582877e-26,3.82005943442512e-24
"YMR053C",135.267243137279,0.637082030677228,0.156774265879028,4.06369009036738,4.83029500959207e-05,0.000234069421041888
"YMR087W",133.060314370247,0.344001947963618,0.129290409293046,2.66069192482726,0.00779802707174576,0.0217418124822549
